Time (s),Temperature (C),Salinity Raw Voltage (V),ppt
1,23.7,0.00,0.080
2,23.7,0.00,0.080
3,23.9,0.00,0.000
4,23.8,0.00,0.000
5,23.7,0.00,0.000
6,23.8,0.00,0.000
7,23.8,0.00,0.000
8,23.9,0.00,0.000
9,23.8,0.00,0.000
10,23.8,0.00,0.080
11,23.9,0.00,0.000
12,24.0,0.00,0.000
13,23.9,0.00,0.000
14,23.9,0.00,0.000
15,23.9,0.00,0.000
16,24.0,0.00,0.000
17,24.0,0.00,0.000
18,23.9,0.00,0.000
19,23.8,0.00,0.000
20,23.9,0.00,0.000
21,23.9,0.00,0.000
22,23.9,0.00,0.000
23,23.9,0.00,0.000
24,23.8,0.00,0.000
25,24.0,0.00,0.000
26,23.9,0.00,0.080
27,23.9,0.00,0.000
28,24.0,0.00,0.000
29,23.9,0.00,0.000
30,24.0,0.00,0.000
31,23.9,0.00,0.080
32,23.9,0.00,0.000
33,24.0,0.00,0.000
34,23.9,0.00,0.000
35,24.0,0.00,0.000
36,23.9,0.00,0.000
37,24.1,0.00,0.000
38,23.9,0.00,0.000
39,23.9,0.00,0.000
40,23.9,0.00,0.000
41,23.9,0.00,0.000
42,24.0,0.00,0.000
43,23.9,0.00,0.000
44,23.9,0.00,0.000
45,23.9,0.00,0.000
46,23.9,0.00,0.000
47,23.9,0.00,0.000
48,23.9,0.00,0.000
49,23.9,0.00,0.000
50,23.9,0.00,0.080
51,23.9,0.00,0.080
52,24.0,0.00,0.000
53,23.9,0.00,0.000
54,24.0,0.00,0.000
55,23.9,0.00,0.000
56,23.9,0.00,0.000
57,23.9,0.00,0.000
58,23.9,0.00,0.080
59,23.9,0.00,0.000
60,24.1,0.00,0.000
61,23.9,0.00,0.000
62,24.1,0.00,0.000
63,24.2,0.00,0.000
64,24.0,0.00,0.080
65,24.0,0.00,0.000
66,24.2,0.00,0.000
67,24.0,0.00,0.000
68,24.1,0.00,0.000
69,23.9,0.00,0.000
70,24.0,0.00,0.000
71,24.1,0.00,0.000
72,24.0,0.00,0.080
73,24.2,0.00,0.000
74,24.1,0.00,0.000
75,24.1,0.00,0.080
76,24.1,0.00,0.000
77,24.1,0.00,0.000
78,24.1,0.00,0.080
79,24.1,0.00,0.000
80,24.3,0.00,0.000
81,24.1,0.00,0.000
82,24.1,0.00,0.080
83,24.1,0.00,0.080
84,24.1,0.00,0.000
85,24.1,0.01,0.159
86,24.1,0.00,0.080
87,24.1,0.00,0.000
88,24.1,0.00,0.000
89,24.0,0.00,0.000
90,24.2,0.00,0.000
91,24.0,0.00,0.000
92,24.0,0.00,0.000
93,24.1,0.00,0.000
94,23.9,0.00,0.000
95,23.9,0.00,0.000
96,24.1,0.00,0.000
97,24.1,0.00,0.000
98,23.9,0.00,0.080
99,23.9,0.00,0.000
100,23.9,0.00,0.000
101,23.9,0.00,0.000
102,23.9,0.00,0.000
103,23.9,0.00,0.080
104,23.9,0.00,0.080
105,23.9,0.00,0.000
106,23.9,0.01,0.239
107,23.9,0.00,0.000
108,24.1,0.00,0.000
109,23.9,0.00,0.000
110,24.0,0.00,0.000
111,24.0,0.00,0.000
112,23.9,0.00,0.000
113,24.2,0.00,0.000
114,24.0,0.00,0.000
115,24.1,0.00,0.000
116,24.1,0.01,0.159
117,24.2,0.00,0.000
118,24.1,0.00,0.000
119,24.1,0.00,0.000
120,24.2,0.00,0.000
121,24.1,0.00,0.080
122,24.2,0.00,0.000
123,24.2,0.00,0.000
124,24.3,0.00,0.000
125,24.4,0.00,0.000
126,24.3,0.00,0.000
127,24.3,0.00,0.080
128,24.5,0.00,0.000
129,24.5,0.00,0.000
130,24.4,0.00,0.000
131,24.5,0.00,0.000
132,24.6,0.00,0.000
133,24.4,0.00,0.000
134,24.7,0.00,0.000
135,24.6,0.00,0.000
136,24.7,0.00,0.000
137,24.5,0.00,0.000
138,24.5,0.00,0.000
139,24.6,0.00,0.000
140,24.6,0.00,0.000
141,24.4,0.00,0.000
142,24.4,0.00,0.000
143,24.5,0.00,0.000
144,24.4,0.00,0.000
145,24.5,0.00,0.000
146,24.6,0.00,0.000
147,24.5,0.00,0.000
148,24.5,0.00,0.000
149,24.5,0.00,0.080
150,24.5,0.00,0.000
151,24.4,0.00,0.000
152,24.6,0.00,0.000
153,24.5,0.00,0.000
154,24.4,0.00,0.080
155,24.3,0.00,0.080
156,24.2,0.00,0.000
157,24.4,0.00,0.000
158,24.3,0.00,0.000
159,24.5,0.00,0.000
160,24.2,0.00,0.000
161,24.3,0.00,0.000
162,24.3,0.00,0.000
163,24.1,0.00,0.000
164,24.1,0.00,0.080
165,24.1,0.00,0.080
166,24.3,0.00,0.000
167,24.2,0.00,0.000
168,24.2,0.00,0.000
169,24.1,0.00,0.000
170,24.0,0.00,0.000
171,24.0,0.00,0.000
172,24.2,0.00,0.000
173,24.2,0.00,0.000
174,24.1,0.00,0.000
175,24.3,0.00,0.000
176,24.2,0.00,0.000
177,24.2,0.00,0.000
178,24.2,0.00,0.000
179,24.4,0.00,0.000
180,24.5,0.00,0.000
181,24.3,0.00,0.000
182,24.4,0.00,0.000
183,24.5,0.00,0.000
184,24.2,0.00,0.000
185,24.2,0.00,0.000
186,24.3,0.00,0.000
187,24.2,0.00,0.000
188,24.3,0.00,0.000
189,24.3,0.00,0.000
190,24.3,0.00,0.000
191,24.2,0.00,0.000
192,24.2,0.00,0.000
193,24.2,0.00,0.000
194,24.3,0.00,0.000
195,24.2,0.00,0.000
196,24.3,0.00,0.000
197,24.1,0.00,0.000
198,24.1,0.00,0.000
199,24.0,0.00,0.000
200,23.9,0.00,0.000
201,23.9,0.00,0.000
202,23.9,0.00,0.000
203,23.9,0.00,0.000
204,23.9,0.00,0.000
205,23.9,0.00,0.000
206,23.9,0.00,0.000
207,23.9,0.00,0.080
208,23.9,0.00,0.000
209,23.8,0.00,0.080
210,23.9,0.00,0.000
211,24.0,0.00,0.000
212,23.9,0.00,0.000
213,23.9,0.00,0.000
214,23.9,0.00,0.000
215,23.9,0.00,0.000
216,23.9,0.00,0.000
217,23.9,0.00,0.000
218,23.9,0.00,0.000
219,23.9,0.00,0.080
220,23.9,0.00,0.000
221,23.9,0.00,0.080
222,23.9,0.00,0.080
223,24.0,0.00,0.000
224,24.0,0.00,0.000
225,24.0,0.00,0.000
226,24.1,0.00,0.000
227,23.9,0.00,0.080
228,24.0,0.00,0.080
229,24.2,0.00,0.000
230,23.9,0.00,0.000
231,24.1,0.00,0.000
232,24.1,0.00,0.000
233,24.0,0.00,0.000
234,24.0,0.00,0.080
235,24.2,0.00,0.000
236,24.0,0.00,0.000
237,24.1,0.00,0.000
238,24.1,0.00,0.000
239,24.3,0.00,0.000
240,24.4,0.00,0.000
241,24.4,0.00,0.000
242,24.1,0.00,0.000
243,24.2,0.00,0.000
244,24.2,0.01,0.159
245,24.2,0.00,0.000
246,24.2,0.00,0.000
247,24.1,0.00,0.080
248,24.1,0.00,0.000
249,24.1,0.00,0.000
250,24.1,0.00,0.000
251,24.0,0.00,0.000
252,24.1,0.00,0.000
253,24.0,0.00,0.080
254,24.0,0.00,0.000
255,24.0,0.00,0.000
256,24.0,0.00,0.080
257,24.4,0.00,0.000
258,24.2,0.00,0.000
259,24.5,0.00,0.000
260,24.6,0.00,0.000
261,24.4,0.00,0.000
262,24.4,0.00,0.080
263,24.5,0.00,0.000
264,24.5,0.00,0.000
265,24.7,0.00,0.000
266,24.5,0.00,0.000
267,24.6,0.00,0.000
268,24.8,0.00,0.000
269,24.5,0.00,0.000
270,24.5,0.00,0.080
271,24.7,0.00,0.000
272,25.2,0.00,0.000
273,25.8,0.00,0.000
274,26.1,0.00,0.000
275,26.4,0.00,0.000
276,26.7,0.00,0.000
277,26.8,0.00,0.080
278,27.1,0.00,0.000
279,26.8,0.17,2.788
280,27.0,0.00,0.000
281,27.0,0.00,0.000
282,27.1,0.00,0.000
283,27.3,0.00,0.000
284,27.3,0.00,0.000
285,27.3,0.21,3.346
286,27.0,0.13,2.071
287,27.1,0.13,2.071
288,26.9,0.15,2.390
289,27.0,0.11,1.832
290,26.9,0.11,1.753
291,26.6,0.07,1.195
292,26.5,0.04,0.717
293,26.4,0.00,0.000
294,27.0,0.00,0.000
295,26.3,0.00,0.000
296,24.8,0.21,3.346
297,26.2,0.07,1.115
298,24.9,0.01,0.159
299,26.4,0.03,0.558
300,26.3,0.14,2.310
301,26.3,0.22,3.585
302,26.5,0.07,1.115
303,26.5,0.03,0.558
304,26.5,0.00,0.000
305,26.5,0.05,0.876
306,26.5,0.07,1.195
307,26.6,0.12,1.912
308,26.5,0.06,0.956
309,26.5,0.07,1.115
310,26.7,0.13,2.151
311,26.4,0.16,2.549
312,26.4,0.10,1.673
313,26.4,0.13,2.071
314,26.5,0.14,2.310
315,25.8,0.18,2.948
316,26.3,0.14,2.231
317,26.2,0.14,2.231
318,25.9,0.15,2.390
319,26.0,0.13,2.071
320,25.2,0.08,1.354
321,25.8,0.00,0.000
322,25.7,0.09,1.434
323,25.5,0.12,1.992
324,25.5,0.11,1.753
325,26.0,0.12,1.992
326,25.3,0.11,1.753
327,25.2,0.02,0.319
328,25.2,0.00,0.000
329,24.6,0.00,0.000
330,24.8,0.00,0.080
331,26.2,0.20,3.266
332,25.5,0.04,0.717
333,26.2,0.00,0.000
334,27.2,0.14,2.310
335,25.2,0.12,1.912
336,26.8,0.03,0.558
337,27.5,0.15,2.470
338,27.4,0.19,3.027
339,26.7,0.16,2.629
340,26.8,0.01,0.239
341,26.8,0.01,0.159
342,26.5,0.17,2.709
343,26.5,0.11,1.753
344,26.6,0.00,0.000
345,26.4,0.22,3.505
346,26.8,0.16,2.629
347,26.2,0.22,3.585
348,28.0,0.17,2.709
349,28.0,0.14,2.231
350,26.5,0.15,2.470
351,26.5,0.12,1.912
352,26.4,0.12,1.992
353,26.2,0.08,1.354
354,26.0,0.04,0.637
355,25.8,0.00,0.080
356,25.9,0.00,0.000
357,25.9,0.09,1.434
358,25.7,0.00,0.000
359,25.5,0.02,0.319
360,25.1,0.22,3.585
361,24.6,0.08,1.354
362,22.6,0.09,1.514
363,24.0,0.14,2.310
364,24.2,0.19,3.107
365,24.1,0.13,2.071
366,24.4,0.15,2.470
367,24.1,0.16,2.629
368,24.2,0.00,0.080
369,25.2,0.12,1.912
370,24.7,0.19,3.027
371,25.2,0.11,1.753
372,25.2,0.01,0.159
373,24.5,0.13,2.071
374,24.6,0.18,2.868
375,24.5,0.19,3.027
376,24.7,0.18,2.868
377,25.2,0.14,2.231
378,25.2,0.20,3.266
379,25.2,0.15,2.470
380,25.1,0.15,2.470
381,26.3,0.14,2.310
382,25.2,0.11,1.753
383,25.1,0.09,1.514
384,25.3,0.00,0.000
385,25.2,0.00,0.000
386,24.8,0.00,0.000
387,24.6,0.00,0.080
388,24.7,0.00,0.000
389,24.6,0.00,0.000
390,24.7,0.00,0.000
391,24.9,0.00,0.000
392,25.4,0.00,0.080
393,25.9,0.00,0.000
394,26.5,0.00,0.000
395,26.5,0.15,2.470
396,26.8,0.02,0.398
397,26.8,0.00,0.000
398,26.9,0.00,0.000
399,28.0,0.12,1.912
400,26.9,0.00,0.080
401,27.0,0.00,0.000
402,26.9,0.00,0.000
403,27.0,0.00,0.000
404,26.9,0.00,0.080
405,26.9,0.00,0.000
406,26.9,0.00,0.000
407,26.8,0.00,0.000
408,26.7,0.00,0.000
409,26.8,0.00,0.080
410,26.7,0.14,2.231
411,26.8,0.20,3.187
412,26.6,0.14,2.231
413,26.5,0.17,2.788
414,26.6,0.16,2.629
415,27.5,0.10,1.593
416,28.1,0.16,2.629
417,26.8,0.09,1.434
418,27.3,0.19,3.027
419,27.2,0.17,2.788
420,27.0,0.04,0.637
421,25.5,0.15,2.390
422,27.3,0.10,1.593
423,26.8,0.01,0.239
424,26.7,0.02,0.398
425,26.6,0.11,1.832
426,26.5,0.14,2.310
427,26.5,0.11,1.832
428,26.5,0.16,2.549
429,26.5,0.17,2.788
430,28.2,0.13,2.071
431,26.7,0.17,2.788
432,26.6,0.16,2.629
433,26.5,0.18,2.868
434,26.5,0.17,2.788
435,26.8,0.14,2.310
436,26.7,0.15,2.390
437,25.6,0.14,2.231
438,26.6,0.19,3.027
439,26.6,0.18,2.948
440,26.8,0.15,2.470
441,26.5,0.15,2.470
442,26.7,0.16,2.549
443,26.9,0.16,2.549
444,27.0,0.19,3.107
445,27.0,0.14,2.310
446,27.1,0.16,2.549
447,27.0,0.00,0.000
448,27.0,0.00,0.000
449,27.1,0.21,3.426
450,27.0,0.05,0.797
451,27.1,0.00,0.000
452,27.1,0.11,1.832
453,26.9,0.00,0.000
454,26.8,0.00,0.000
455,27.0,0.00,0.000
456,26.6,0.01,0.159
457,26.5,0.00,0.000
458,26.3,0.00,0.000
459,26.2,0.00,0.000
460,26.1,0.00,0.080
461,25.9,0.00,0.000
462,25.8,0.00,0.000
463,25.3,0.00,0.000
464,25.2,0.00,0.000
465,24.8,0.00,0.080
466,24.7,0.00,0.000
467,24.4,0.01,0.159
468,24.4,0.00,0.000
469,24.2,0.00,0.000
470,23.9,0.00,0.000
471,23.7,0.00,0.080
472,23.5,0.00,0.000
473,23.3,0.00,0.080
474,23.2,0.00,0.080
475,23.0,0.00,0.080
476,22.8,0.00,0.080
477,22.7,0.00,0.000
478,22.6,0.00,0.000
479,22.6,0.00,0.080
480,22.5,0.00,0.080
481,22.4,0.00,0.080
482,22.3,0.00,0.080
